surface,name,path,line,static_route,db_imports,daemon_imports,matrix_backend,matrix_target,matrix_status,matrix_batch
mcp,get_role_view,server/tools/tools_collab.py,115,daemon_client,db,,unknown,rust_native,migrated,MCP-001
mcp,find_evidence,server/tools/tools_collab.py,133,daemon_client,db,,unknown,rust_native,migrated,MCP-002
mcp,get_freshness_status,server/tools/tools_collab.py,153,daemon_client,db,,unknown,rust_native,migrated,MCP-003
mcp,get_gate_decision,server/tools/tools_collab.py,174,daemon_client,db,,unknown,rust_native,migrated,MCP-004
mcp,submit_verdict,server/tools/tools_collab.py,196,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,append_evidence,server/tools/tools_collab.py,256,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,task_remediation_create,server/tools/tools_collab.py,314,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,task_step_resolve,server/tools/tools_collab.py,360,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,import_envelope_dependencies,server/tools/tools_p2_graph.py,38,daemon_client,db,,unknown,task_rpc,migrated,T02-job
mcp,record_artifact_identity,server/tools/tools_p2_graph.py,64,daemon_client,db,,unknown,rust_native,migrated,T02-admin
mcp,get_artifact_freshness,server/tools/tools_p2_graph.py,88,daemon_client,db,,unknown,rust_native,migrated,MCP-005
mcp,publish_interface,server/tools/tools_p2_graph.py,101,daemon_client,db,,unknown,rust_native,migrated,T02-admin
mcp,get_interface_providers,server/tools/tools_p2_graph.py,118,daemon_client,db,,unknown,rust_native,migrated,MCP-006
mcp,select_interface_provider,server/tools/tools_p2_graph.py,131,daemon_client,db,,unknown,rust_native,migrated,T02-admin
mcp,build_hard_dependency_edges,server/tools/tools_p2_graph.py,147,daemon_client,db,,unknown,task_rpc,migrated,T02-job
mcp,detect_cycle,server/tools/tools_p2_graph.py,163,daemon_client,db,,unknown,rust_native,migrated,MCP-007
mcp,validate_revision_dependencies,server/tools/tools_p2_graph.py,174,daemon_client,db,,unknown,rust_native,migrated,MCP-008
mcp,get_dependency_edges,server/tools/tools_p2_graph.py,190,daemon_client,db,,unknown,rust_native,migrated,MCP-009
mcp,record_action_identity,server/tools/tools_p3_identity.py,38,daemon_client,db,,unknown,rust_native,migrated,T02-admin
mcp,get_action_identity,server/tools/tools_p3_identity.py,69,daemon_client,db,,unknown,rust_native,migrated,MCP-010
mcp,check_action_identity,server/tools/tools_p3_identity.py,85,daemon_client,db,,unknown,rust_native,migrated,MCP-011
mcp,check_session_separation,server/tools/tools_p3_identity.py,101,daemon_client,db,,unknown,rust_native,migrated,MCP-012
mcp,get_attestation_validity,server/tools/tools_p3_identity.py,117,daemon_client,db,,unknown,python_compat,transition,P0-compat
mcp,list_attestation_revocations,server/tools/tools_p3_identity.py,142,daemon_client,db,,unknown,python_compat,transition,P0-compat
mcp,register_attestation_revocation,server/tools/tools_p3_identity.py,164,daemon_client,db,,unknown,rust_native,migrated,T02-admin
mcp,lease_acquire,server/tools/tools_p4_lease.py,48,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,lease_renew,server/tools/tools_p4_lease.py,81,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,lease_release,server/tools/tools_p4_lease.py,112,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,lease_status,server/tools/tools_p4_lease.py,141,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,lease_list_events,server/tools/tools_p4_lease.py,159,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,assignment_create,server/tools/tools_p4_lease.py,175,daemon_client,db,,unknown,rust_native,migrated,T02-admin
mcp,assignment_show,server/tools/tools_p4_lease.py,202,daemon_client,db,,unknown,python_compat,transition,P0-compat
mcp,assignment_revoke,server/tools/tools_p4_lease.py,216,daemon_client,db,,unknown,rust_native,migrated,T02-admin
mcp,get_stats,server/tools/tools_query.py,61,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,search_symbols,server/tools/tools_query.py,66,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_symbol,server/tools/tools_query.py,77,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_symbol_location,server/tools/tools_query.py,90,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_file_symbols,server/tools/tools_query.py,100,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_callers,server/tools/tools_query.py,113,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_callees,server/tools/tools_query.py,126,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_symbol_history,server/tools/tools_query.py,139,daemon_client,db,,unknown,python_compat,transition,P0-compat
mcp,get_file_history,server/tools/tools_query.py,148,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_recent_changes,server/tools/tools_query.py,165,daemon_client,db,,unknown,python_compat,transition,P0-compat
mcp,get_topological_order,server/tools/tools_query.py,174,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_impact,server/tools/tools_query.py,183,daemon_client,db,,unknown,python_compat,transition,P0-compat
mcp,get_call_chain_down,server/tools/tools_query.py,193,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_top_callers,server/tools/tools_query.py,203,daemon_client,db,,unknown,rust_native,migrated,S2-query-compat-batch1
mcp,get_orphan_symbols,server/tools/tools_query.py,214,daemon_client,db,,unknown,rust_native,migrated,S2-query-compat-batch1
mcp,get_deepest_functions,server/tools/tools_query.py,225,daemon_client,db,,unknown,rust_native,migrated,S2-query-compat-batch1
mcp,get_module_call_stats,server/tools/tools_query.py,236,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,detect_cycles,server/tools/tools_query.py,251,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_comment_from_version,server/tools/tools_query.py,263,daemon_client,db,,unknown,python_compat,transition,P0-compat
mcp,restore_comment,server/tools/tools_query.py,272,daemon_client,db,,unknown,rust_native,migrated,T02-edit
mcp,get_issue_summary,server/tools/tools_query.py,282,daemon_client,db,,unknown,python_compat,transition,P0-compat
mcp,find_issues,server/tools/tools_query.py,292,daemon_client,db,,unknown,python_compat,transition,P0-compat
mcp,get_semgrep_stats,server/tools/tools_query.py,306,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_semgrep_findings,server/tools/tools_query.py,318,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,run_semgrep_scan,server/tools/tools_query.py,339,daemon_client,db,,unknown,task_rpc,migrated,T02-job
mcp,scan_semgrep_incremental,server/tools/tools_query.py,357,daemon_client,db,,unknown,task_rpc,migrated,T02-job
mcp,get_comment_coverage,server/tools/tools_query.py,388,daemon_client,db,,unknown,rust_native,migrated,S2-query-compat-batch1
mcp,get_uncommented_symbols,server/tools/tools_query.py,397,daemon_client,db,,unknown,rust_native,stable,existing-native
mcp,get_call_heatmap,server/tools/tools_query.py,416,daemon_client,db,,unknown,rust_native,migrated,S2-query-compat-batch1
mcp,get_test_coverage,server/tools/tools_query.py,426,daemon_client,db,,unknown,python_compat,transition,P0-compat
mcp,export_module_graph,server/tools/tools_query.py,437,daemon_client,db,,unknown,python_compat,transition,P0-compat
mcp,restore_all_comments,server/tools/tools_query.py,446,daemon_client,db,,unknown,rust_native,migrated,T02-edit
mcp,list_toolchains,server/tools/tools_rules.py,44,daemon_client,,,unknown,rust_native,migrated,S2-toolchain-compat-batch2
mcp,get_toolchain,server/tools/tools_rules.py,53,daemon_client,,,unknown,rust_native,migrated,S2-toolchain-compat-batch2
mcp,get_workspace_toolchains,server/tools/tools_rules.py,62,daemon_client,,,unknown,rust_native,migrated,S2-toolchain-compat-batch2
mcp,list_build_contexts,server/tools/tools_rules.py,75,daemon_client,,,unknown,rust_native,stable,existing-native
mcp,get_build_context,server/tools/tools_rules.py,84,daemon_client,,,unknown,rust_native,stable,existing-native
mcp,get_active_build_context,server/tools/tools_rules.py,94,daemon_client,,,unknown,rust_native,stable,existing-native
