contract_id,task_id,task_status,workspace_id,stringified_array,empty_dependencies,defective
TC-T-1787321708926-e7ebfac4,T-1787321708926-e7ebfac4,closed,1,True,True,True
TC-T-1787321709017-ed4e79b0,T-1787321709017-ed4e79b0,closed,1,True,True,True
TC-T-1787321709098-f2236ea0,T-1787321709098-f2236ea0,closed,1,True,True,True
TC-T-1787321709179-f6fdf5bc,T-1787321709179-f6fdf5bc,closed,1,True,True,True
TC-T-1787321709249-fb256530,T-1787321709249-fb256530,closed,1,True,True,True
TC-T-1787321709365-021050a8,T-1787321709365-021050a8,closed,1,True,True,True
TC-T-1787321709432-060d1128,T-1787321709432-060d1128,closed,1,True,True,True
TC-T-1787321709518-0b31a484,T-1787321709518-0b31a484,closed,1,True,True,True
TC-T-1787321709584-0f2573f4,T-1787321709584-0f2573f4,closed,1,True,True,True
TC-T-1787321709651-131e1880,T-1787321709651-131e1880,closed,1,True,True,True
TC-T-1787321709710-169c2da8,T-1787321709710-169c2da8,closed,1,True,True,True
TC-T-1787321709770-1a3de640,T-1787321709770-1a3de640,closed,1,True,True,True
TC-T-1787321709835-1e194764,T-1787321709835-1e194764,closed,1,True,True,True
TC-T-1787321709894-21a00d8c,T-1787321709894-21a00d8c,review,1,True,True,True
TC-T-1787321709955-2537b8b4,T-1787321709955-2537b8b4,review,1,True,True,True
TC-T-1787321710012-289c54c4,T-1787321710012-289c54c4,review,1,True,True,True
TC-T-1787321710069-2c03f5e0,T-1787321710069-2c03f5e0,review,1,True,True,True
TC-T-1787321710140-3047f444,T-1787321710140-3047f444,review,1,True,True,True
TC-T-1787321710300-39d0baf0,T-1787321710300-39d0baf0,review,1,True,True,True
TC-T-1787321710397-3f9a9028,T-1787321710397-3f9a9028,review,1,True,True,True
TC-T-1787321710484-44c1c940,T-1787321710484-44c1c940,review,1,True,True,True
TC-T-1787321710544-485efa78,T-1787321710544-485efa78,review,1,True,True,True
TC-T-1787321710602-4bcbb50c,T-1787321710602-4bcbb50c,review,1,True,True,True
TC-T-1787321710659-4f3acb88,T-1787321710659-4f3acb88,review,1,True,True,True
TC-T-1787321710720-52daa72c,T-1787321710720-52daa72c,review,1,True,True,True
TC-T-1787321710784-56a998b8,T-1787321710784-56a998b8,review,1,True,True,True
TC-T-1787321710849-5a85f634,T-1787321710849-5a85f634,review,1,True,True,True
TC-T-1787321710913-5e5558a4,T-1787321710913-5e5558a4,review,1,True,True,True
TC-T-1787321710977-62266414,T-1787321710977-62266414,review,1,True,True,True
TC-T-1787321711035-659d600c,T-1787321711035-659d600c,review,1,True,True,True
TC-T-1787321711142-6c00c7b8,T-1787321711142-6c00c7b8,review,1,True,True,True
TC-T-1787321711218-707e9d24,T-1787321711218-707e9d24,review,1,True,True,True
TC-T-1787321711292-74eefc14,T-1787321711292-74eefc14,review,1,True,True,True
TC-T-1787321711354-78a01118,T-1787321711354-78a01118,review,1,True,True,True
TC-T-1787321711419-7c795b78,T-1787321711419-7c795b78,review,1,True,True,True
TC-T-1787321711485-80694f68,T-1787321711485-80694f68,review,1,True,True,True
TC-T-1787321711567-854fb8b4,T-1787321711567-854fb8b4,review,1,True,True,True
TC-T-1787321711671-8b84382c,T-1787321711671-8b84382c,review,1,True,True,True
TC-T-1787321711747-900bc900,T-1787321711747-900bc900,review,1,True,True,True
TC-T-1787321711827-94d36268,T-1787321711827-94d36268,review,1,True,True,True
TC-T-1787321711882-9812b654,T-1787321711882-9812b654,review,1,True,True,True
TC-T-1787321711941-9b9a78d4,T-1787321711941-9b9a78d4,review,1,True,True,True
TC-T-1787321712002-9f3f403c,T-1787321712002-9f3f403c,review,1,True,True,True
TC-T-1787321712071-a3580d34,T-1787321712071-a3580d34,review,1,True,True,True
TC-T-1787321712131-a6f798c4,T-1787321712131-a6f798c4,review,1,True,True,True
TC-T-1787321712197-aae29150,T-1787321712197-aae29150,review,1,True,True,True
TC-T-1787321712254-ae4cba14,T-1787321712254-ae4cba14,review,1,True,True,True
TC-T-1787321712317-b20200ec,T-1787321712317-b20200ec,review,1,True,True,True
TC-T-1787321712383-b5f00e24,T-1787321712383-b5f00e24,review,1,True,True,True
TC-T-1787321712440-b95892fc,T-1787321712440-b95892fc,review,1,True,True,True
TC-T-1787321712498-bcc9ba60,T-1787321712498-bcc9ba60,closed,1,True,True,True
TC-T-1787321712571-c126ad70,T-1787321712571-c126ad70,closed,1,True,True,True
TC-T-1787321712641-c5517dbc,T-1787321712641-c5517dbc,closed,1,True,True,True
TC-T-1787321712696-c896d134,T-1787321712696-c896d134,closed,1,True,True,True
TC-T-1787321712758-cc574178,T-1787321712758-cc574178,closed,1,True,True,True
TC-T-1787321712826-d05f6f5c,T-1787321712826-d05f6f5c,closed,1,True,True,True
TC-T-1787321712895-d47d25c0,T-1787321712895-d47d25c0,closed,1,True,True,True
TC-T-1787321712961-d86f42d0,T-1787321712961-d86f42d0,closed,1,True,True,True
TC-T-1787321713038-dd021610,T-1787321713038-dd021610,closed,1,True,True,True
TC-T-1787321713116-e1a76170,T-1787321713116-e1a76170,closed,1,True,True,True
TC-T-1787321713179-e565d9cc,T-1787321713179-e565d9cc,closed,1,True,True,True
TC-T-1787321713237-e8e1f1f8,T-1787321713237-e8e1f1f8,closed,1,True,True,True
TC-T-1787321713303-ecc6ada4,T-1787321713303-ecc6ada4,closed,1,True,True,True
TC-T-1787321713365-f084e3fc,T-1787321713365-f084e3fc,review,1,True,True,True
TC-T-1787321713424-f4071e14,T-1787321713424-f4071e14,review,1,True,True,True
TC-T-1787321713485-f7a90848,T-1787321713485-f7a90848,review,1,True,True,True
TC-T-1787321713551-fb94f87c,T-1787321713551-fb94f87c,review,1,True,True,True
TC-T-1787322794470-a75de064,T-1787322794470-a75de064,review,1,True,True,True
TC-T-1787322794529-aae5f8d4,T-1787322794529-aae5f8d4,review,1,True,True,True
TC-T-1787322794614-affbd0b4,T-1787322794614-affbd0b4,review,1,True,True,True
TC-T-1787322794681-b3f8e33c,T-1787322794681-b3f8e33c,review,1,True,True,True
TC-T-1787322794745-b7c1ed10,T-1787322794745-b7c1ed10,review,1,True,True,True
TC-T-1787322794809-bb8f0658,T-1787322794809-bb8f0658,review,1,True,True,True
TC-T-1787322794865-beea9d08,T-1787322794865-beea9d08,review,1,True,True,True
TC-T-1787322794927-c29e6894,T-1787322794927-c29e6894,review,1,True,True,True
